IdStart	IdEnd	Length
0	8	3.78551046
1	2539	2.983632828
2	193	7.865300132
3	214	122.2006793
3	1060	40.10360561
5	1308	10.63656046
6	1243	2.347469234
7	7	23.68204523
7	663	3.756384396
7	2144	40.61088777
8	0	3.785510459
8	1327	17.7241184
13	160	0.90249298
14	626	30.1628211
15	2459	37.82039271
16	2398	21.56660671
17	1414	1.354948794
18	18	13.79589328
18	2331	42.77429273
19	20	14.76448358
20	20	19.67318808
20	924	42.76946843
21	2261	0.928500489
22	27	0.109936198
23	1450	0.665783986
24	2094	28.30350594
25	23	2.250580941
26	1970	31.61034719
27	1480	10.55766568
28	22	0.748442037
29	1154	1.479347501
30	909	48.6825389
31	25	9.793951467
33	33	63.94163912
33	177	245.5615344
33	587	163.4190372
34	34	45.54384023
34	37	0.218494127
34	1424	321.0767695
35	1974	1.269802852
36	36	46.89350172
36	919	37.4790542
36	1233	16.55778344
37	34	0.218494127
37	1420	10.72840965
38	1416	38.24204164
39	650	8.978415852
40	366	0.374710365
41	90	4.490789256
42	143	12.76769782
43	43	164.2258592
45	836	11.50524674
46	1878	7.760171224
47	84	9.115038624
48	326	6.605144542
49	2207	7.157382717
50	1298	7.200901596
51	564	3.11883832
52	86	13.40153816
53	134	5.926446349
54	231	33.15438454
55	941	134.7472914
55	1634	88.97518365
56	925	24.87052794
57	54	18.53803589
58	92	1.888941137
59	754	50.58594429
60	683	4.198994967
61	424	8.396347345
62	574	2.884318225
63	1439	115.5141322
64	359	375.8913187
64	362	259.5479536
64	2363	168.3716374
65	623	156.6988247
66	63	1.706150421
67	620	71.96036388
67	2331	6.193109149
68	611	3.182764834
69	568	42.09869519
70	1807	59.20680954
71	1465	20.10012129
72	66	0.112611708
72	72	48.31030159
72	1859	75.90658537
73	2227	70.89693888
74	74	96.80737212
74	1930	214.6026092
74	1933	44.96793865
75	622	34.21597192
76	704	0.745705315
77	826	39.07515753
78	103	5.202312245
79	321	13.06800695
80	76	5.948851721
81	288	0.924784235
82	291	9.202463598
83	48	6.96645282
84	218	2.178933545
85	137	1.257647915
86	83	2.695140397
87	138	5.677423663
88	52	6.586528328
89	840	4.915519867
90	85	8.26454655
91	94	11.7794675
92	629	4.480932502
93	1333	1.934184073
94	2166	59.37122808
95	267	3.383614986
96	1409	161.1329423
97	31	4.242637301
98	129	24.54331093
100	119	18.06941479
101	2530	11.67427844
102	830	2.409631068
103	80	3.844201569
104	81	7.524023503
105	104	0.186131842
106	813	4.851508416
107	1492	34.76965922
108	571	1.6482399
111	401	37.03947774
114	167	8.225160734
115	209	4.484508766
116	747	3.982661018
117	2029	3.541225926
118	388	4.040830195
119	2028	0.049794552
120	778	1.864148244
121	2049	24.63917064
122	1522	7.835908318
123	1426	2.74764543
124	124	12.61787179
124	1697	17.67612704
125	1724	16.33213758
126	131	24.43109693
127	703	0.515713281
128	78	38.72214268
129	299	9.615429356
130	98	1.449837982
131	297	17.14818283
132	1090	1.872420814
133	825	11.32007528
134	217	2.163027747
135	1485	10.54667548
136	1275	14.24553828
137	50	7.943719598
138	40	6.867604295
139	808	1.189310245
140	24	21.72547242
141	294	3.193741583
142	1713	33.83879888
143	333	1.666802634
144	306	7.413207021
145	285	37.8858734
146	2104	2.106928167
147	832	129.6951593
148	866	26.64373972
149	1297	29.16441394
150	1558	28.49801927
151	275	24.21447131
152	152	28.94575993
152	978	3.52977868
153	940	5.05063196
154	945	12.69914137
155	2360	0.461937761
156	1687	13.73866681
157	316	14.90296711
158	981	15.76454058
159	657	4.146869162
160	5	0.391283672
161	13	0.322970997
162	1012	8.964236538
163	1383	1.276524701
164	1392	5.419609881
165	42	7.815390113
166	166	216.5359986
166	2232	362.4618335
166	2388	78.31551846
167	167	6.779214816
167	298	25.67369855
168	2423	202.4926321
169	1011	19.75461419
170	1037	21.19947043
171	183	89.89362592
171	1665	0.562180769
172	499	22.18668256
173	1629	4.241009667
174	447	8.770029809
175	619	5.209147571
176	2238	6.599724196
177	1470	53.03053707
178	1471	129.4062567
179	2235	2.619211255
180	569	139.86413
180	2309	67.16916358
181	181	81.76155554
181	1344	219.300433
181	1822	148.852575
181	1845	651.5742957
182	183	20.66905395
182	1822	20.68947529
183	171	89.79994238
183	182	20.65178674
184	184	171.5299446
184	594	718.4767433
184	1031	731.3332711
184	1349	428.0080135
184	1361	1264.450943
184	1684	356.6455633
184	2191	719.2975907
185	1350	361.0075645
186	186	404.6540341
186	1280	160.4105631
186	1645	965.0872866
187	1655	86.30992542
188	188	343.7332005
188	189	353.7680959
188	220	744.2200922
188	1048	736.307434
189	188	696.7007362
189	189	12.50728478
189	1048	38.80613755
190	964	0.128537527
192	1013	192.8856572
193	317	131.2724773
194	2433	100.0981316
196	2000	29.23740618
197	16	7.620437236
198	2405	21.20881583
199	199	32.3594099
199	1704	33.27991128
199	1712	308.9051793
200	1220	37.59333969
201	1126	349.955706
202	202	115.6656262
202	1128	484.5464572
203	1130	2.033996891
204	1257	186.3610399
205	1256	74.00298371
206	202	58.87947778
206	206	36.14438825
207	2146	246.8315215
208	207	36.28896259
209	45	3.453293392
210	1419	28.07802878
211	43	13.24017932
212	155	0.641519748
213	1881	34.06279604
214	3	205.4109769
214	214	83.21029762
215	1796	13.66280286
216	1548	10.07635116
216	1701	20.6065362
217	115	7.194796536
